success,tokenNum,teamSize,USA,UK,othercountry,overallrating,offered_ownership,duration,priceETH,isERC,softcap,hardcap,whitepaper,video,socialMedia
0,#NAME?,#NAME?,0,0,1,2,NA,14,0.005,1,1,1,1,1,0
1,18.13299867,2.944438979,1,0,0,4.1,0.87,45,0.0015,1,0,1,1,1,0
1,16.2750994,2.079441542,0,0,1,2.5,0.68,27,0.00025,1,0,1,1,1,0
1,16.11809565,1.386294361,0,0,1,3,NA,29,NA,NA,0,1,1,0,3
1,NA,1.386294361,1,0,0,2.3,NA,66,NA,NA,0,0,1,1,0
1,19.33697148,3.135494216,0,0,1,2.9,0.3,28,1.00E-04,1,0,1,1,0,0
1,16.92635564,1.609437912,0,1,0,2.1,NA,76,0.017,1,0,0,1,0,0
1,15.97883358,2.48490665,1,0,0,2.4,NA,36,0.0035,1,0,0,0,1,0
1,17.03438634,3.091042453,0,1,0,4.2,0.5,90,0.0014,1,1,1,1,1,2
0,#NAME?,1.386294361,0,0,1,2.3,NA,29,0.00013,NA,0,0,1,0,2
0,12.44980283,2.079441542,0,0,1,2.9,NA,59,6.00E-04,1,1,1,1,1,0
1,NA,2.63905733,1,0,0,2.5,NA,31,0.0014,1,1,1,1,0,0
1,20.72326584,1.098612289,1,0,0,2.5,NA,27,2.00E-04,NA,1,1,1,1,0
0,1.945910149,2.708050201,0,0,1,4.3,0.7,16,8.00E-04,1,1,1,1,1,0
0,20.03011866,2.197224577,1,0,0,2.9,0.3,27,0.000214,1,1,1,1,0,0
0,19.89544375,2.397895273,0,0,1,2.6,0.87,61,0.00014,1,1,1,1,0,0
1,17.62217305,#NAME?,0,0,1,2.1,0.21,30,0.0016,NA,1,1,1,1,0
0,17.50438999,1.098612289,0,0,1,1.8,0.45,63,6.00E-05,NA,1,0,1,1,0
1,NA,2.772588722,0,0,1,3.3,0.8,30,2.00E-04,1,1,1,1,1,0
1,NA,1.098612289,0,0,1,1.2,NA,35,NA,NA,0,0,1,0,0
1,NA,3.17805383,0,1,0,2.9,NA,28,0.0014,1,0,0,1,1,0
0,4.382026635,2.079441542,0,1,0,2.4,NA,62,0.00143,1,0,1,1,1,0
1,NA,1.386294361,1,0,0,4.3,NA,-15,NA,1,0,0,1,1,0
1,22.86919712,2.197224577,0,0,1,2.4,0.95,30,0.00119,1,0,1,1,1,0
0,18.09217668,2.48490665,0,1,0,3,0.6,27,0.001,1,0,0,1,1,3
1,18.6030023,3.433987204,0,0,1,4.3,NA,0,0.00014,NA,1,1,1,1,3
0,#NAME?,2.079441542,0,1,0,2,NA,22,0.005,1,0,0,1,0,0
1,14.91412285,3.091042453,0,0,1,3.3,0.75,30,2.00E-04,1,0,0,1,1,0
0,19.31676877,1.791759469,0,0,1,2.2,0.7,60,1.00E-04,1,0,1,1,1,0
1,NA,2.48490665,0,0,1,2.9,0.3,105,1.00E-05,1,0,0,1,1,1
0,#NAME?,2.302585093,0,0,1,2.3,NA,32,0.0028,1,0,0,1,1,0
0,#NAME?,2.48490665,0,1,0,1.4,NA,69,1.00E-05,NA,0,0,0,1,0
0,9.998797732,2.302585093,0,0,1,2.9,0.88,30,0.1,NA,1,1,1,1,0
0,20.50012229,1.098612289,1,0,0,2.1,0.8,25,1.00E-05,1,0,1,1,1,0
0,17.98989783,2.302585093,0,0,1,2.4,0.65,30,0.0014,NA,0,1,1,1,0
1,19.80697511,2.995732274,0,0,1,2.4,0.4,32,8.00E-05,1,0,1,1,0,0
0,20.33760512,#NAME?,0,0,1,1.8,0.49,181,2.00E-04,1,1,1,1,0,0
1,16.45456789,2.197224577,0,0,1,3.2,NA,91,0.001,1,0,0,1,1,0
0,#NAME?,0.693147181,0,0,1,1.9,NA,31,5.00E-04,NA,0,0,1,1,0
0,19.33697148,3.044522438,0,0,1,3.1,0.5,28,6.00E-05,1,0,0,1,0,2
1,21.12873095,2.772588722,0,1,0,3.7,NA,21,2.00E-04,1,1,1,1,1,0
1,22.35250638,2.564949357,0,0,1,3.7,0.51,0,0.013,0,0,1,1,1,0
1,NA,3.044522438,0,0,1,4.2,0.5,29,1.00E-05,1,0,0,1,1,0
0,18.42068074,1.791759469,0,0,1,2.6,NA,44,0.00035,NA,1,1,1,1,0
0,21.30139059,3.17805383,0,0,1,3.3,NA,28,7.00E-05,1,0,1,1,1,0
1,17.42372211,2.079441542,0,0,1,3.5,0.41,30,0.0016,1,1,1,1,0,3
1,NA,2.564949357,1,0,0,2.9,0.5,62,0.01,1,1,1,1,1,0
1,19.67344371,2.708050201,1,0,0,4.1,NA,31,0.00033,1,1,1,1,1,0
0,17.55318018,2.48490665,0,0,1,2.3,0.7,39,0.001,1,0,1,1,0,0
0,#NAME?,1.945910149,0,0,1,2.8,NA,28,5.00E-05,NA,1,1,1,0,3
0,22.51502531,1.098612289,1,0,0,2.1,1,30,1.00E-06,1,0,1,1,1,0
1,19.80697511,3.688879454,0,0,1,4,0.7,85,4.00E-04,1,1,1,1,1,3
1,19.86759973,2.890371758,0,0,1,4.3,0.85,30,3.00E-05,1,1,1,1,1,0
1,2.197224577,2.63905733,0,0,1,3.2,0.3,14,5.00E-06,1,0,1,1,1,3
0,17.81554444,2.944438979,0,0,1,3.4,0.65,31,0.00035,1,0,0,1,1,3
0,#NAME?,1.386294361,0,0,1,1.7,0.75,65,0.00021,1,1,1,1,0,0
1,NA,4.043051268,1,0,0,3.5,NA,32,0.00154,1,1,0,1,1,3
1,17.82284374,2.944438979,0,1,0,4.6,0.55,68,6.00E-04,1,1,1,1,1,3
0,18.42068074,2.079441542,0,0,1,2.4,0.6,30,0.01,NA,1,0,1,0,0
1,16.3412392,2.890371758,0,0,1,3,NA,30,0.0035,1,0,1,1,1,0
1,2.890371758,1.386294361,0,0,1,3.4,0.8,10,0.001,1,0,1,1,1,0
